xeid,date,time,score,h1,h2,win,tie,los,result,usable,team1,team2,h11,h12,h21,h22,t1,t2
MyGh3HNf,2022-03-26,17:00,0:1,0:1,0:0,2.55,2.81,3.14,2.0,True,Cameroon,Algeria ,0.0,1.0,0.0,0.0,0.0,1.0
I3911eh7,2022-03-26,17:00,0:1,0:1,0:0,2.3,2.78,3.75,2.0,True,Mali,Tunisia ,0.0,1.0,0.0,0.0,0.0,1.0
lOHp5wgr,2022-03-25,15:00,1:1,1:0,0:1,4.74,2.84,2.01,1.0,True,D.R. Congo,Morocco ,1.0,0.0,0.0,1.0,1.0,1.0
Aq1Fd2a4,2022-03-25,02:05,1:0,1:0,0:0,3.1,2.96,2.5,0.0,True,Costa Rica,Canada,1.0,0.0,0.0,0.0,1.0,0.0
0YgSg0qN,2022-03-25,02:00,0:0,0:0,0:0,1.79,3.36,4.94,1.0,True,Mexico,USA,0.0,0.0,0.0,0.0,0.0,0.0
460JeMEA,2022-03-25,01:05,1:1,1:0,0:1,1.46,4.2,7.51,1.0,True,Panama,Honduras,1.0,0.0,0.0,1.0,1.0,1.0
b7M0V4PI,2022-03-25,23:30,4:0,2:0,2:0,1.33,5.08,10.25,0.0,True,Brazil,Chile,2.0,0.0,2.0,0.0,4.0,0.0
4pNdWpAC,2022-03-25,23:30,3:0,1:0,2:0,1.14,8.69,17.55,0.0,True,Colombia,Bolivia,1.0,0.0,2.0,0.0,3.0,0.0
zXqUDxfo,2022-03-25,23:30,3:1,2:0,1:1,3.2,2.89,2.52,0.0,True,Paraguay,Ecuador,2.0,0.0,1.0,1.0,3.0,1.0
jsJhXQf6,2022-03-25,23:30,1:0,1:0,0:0,1.53,3.78,7.34,0.0,True,Uruguay,Peru,1.0,0.0,0.0,0.0,1.0,0.0
rcaNftUG,2022-03-25,23:05,1:1,0:1,1:0,2.07,3.11,3.93,1.0,True,Jamaica,El Salvador ,0.0,1.0,1.0,0.0,1.0,1.0
zFlq4Uso,2022-03-25,19:45,0:1,0:0,0:1,1.2,6.79,15.64,2.0,True,Italy,North Macedonia,0.0,0.0,0.0,1.0,0.0,1.0
Y52H8AZT,2022-03-25,19:45,3:1,2:0,1:1,1.3,5.75,9.97,0.0,True,Portugal,Turkey,2.0,0.0,1.0,1.0,3.0,1.0
vq3D9jKN,2022-03-25,19:45,1:0 ET,0:0,0:0,2.14,3.06,3.98,1.0,True,Sweden,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0
4QA0Chz5,2022-03-25,19:45,2:1,1:0,1:1,2.67,2.92,3.04,0.0,True,Wales,Austria,1.0,0.0,1.0,1.0,2.0,1.0
bVvtFTvc,2022-03-25,17:00,1:2,1:1,0:1,2.07,3.5,3.23,2.0,True,Fiji,Papua New Guinea,1.0,1.0,0.0,1.0,1.0,2.0
MDecjp2d,2022-03-25,17:00,7:1,3:1,4:0,1.08,9.05,24.71,0.0,True,New Zealand,New Caledonia,3.0,1.0,4.0,0.0,7.0,1.0
29KVZ34B,2022-03-25,17:00,1:0,0:0,1:0,2.71,2.94,2.88,0.0,True,Iraq,United Arab Emirates,0.0,0.0,1.0,0.0,1.0,0.0
MiCfeBWl,2022-03-24,15:00,1:1,0:1,1:0,7.37,3.8,1.52,1.0,True,China,Saudi Arabia,0.0,1.0,1.0,0.0,1.0,1.0
G8tDBfY4,2022-03-24,14:00,3:1,1:1,2:0,2.93,3.3,2.3,0.0,True,Solomon Islands,Tahiti,1.0,1.0,2.0,0.0,3.0,1.0
t0JZYNJH,2022-03-24,12:00,0:3,0:3,0:0,2.3,2.98,3.49,2.0,True,Lebanon,Syria,0.0,3.0,0.0,0.0,0.0,3.0
0rBbfVoe,2022-03-24,12:00,0:1,0:0,0:1,3.31,3.23,2.23,2.0,True,Vietnam,Oman,0.0,0.0,0.0,1.0,0.0,1.0
YZFRzpk5,2022-03-24,11:00,2:0,1:0,1:0,2.12,2.95,4.03,0.0,True,South Korea,Iran,1.0,0.0,1.0,0.0,2.0,0.0
ttecdiHr,2022-03-24,09:10,0:2,0:0,0:2,2.87,2.94,2.71,2.0,True,Australia,Japan,0.0,0.0,0.0,2.0,0.0,2.0
l0ckh6Xq,2022-03-22,17:00,4:0,1:0,3:0,1.12,7.55,20.92,0.0,True,New Zealand,Fiji,1.0,0.0,3.0,0.0,4.0,0.0
rNdgiQnj,2022-03-21,14:00,1:0,1:0,0:0,2.49,3.03,2.85,0.0,True,Papua New Guinea,New Caledonia,1.0,0.0,0.0,0.0,1.0,0.0
xOUL9Y2H,2022-03-19,17:00,1:2,0:1,1:1,2.36,3.2,2.93,2.0,True,New Caledonia,Fiji,0.0,1.0,1.0,1.0,1.0,2.0
fauHAEmB,2022-03-18,14:00,0:1,0:0,0:1,30.28,10.41,1.06,2.0,True,Papua New Guinea,New Zealand,0.0,0.0,0.0,1.0,0.0,1.0
rsT5DG3h,2022-03-18,17:00,canc.,,,1.61,3.81,4.92,,False,Tahiti,Vanuatu,,,,,,
Gp86bOUi,2022-02-03,03:00,1:0,0:0,1:0,1.37,4.63,8.86,0.0,True,Mexico,Panama,0.0,0.0,1.0,0.0,1.0,0.0
lvGKzLxo,2022-02-03,02:00,0:2,0:0,0:2,5.68,3.46,1.69,2.0,True,El Salvador,Canada,0.0,0.0,0.0,2.0,0.0,2.0
xf92a4Fo,2022-02-03,00:30,3:0,2:0,1:0,1.17,7.02,16.7,0.0,True,USA,Honduras,2.0,0.0,1.0,0.0,3.0,0.0
b9cBcrpb,2022-02-03,00:00,0:1,0:0,0:1,2.73,2.93,2.84,2.0,True,Jamaica,Costa Rica,0.0,0.0,0.0,1.0,0.0,1.0
rBWyy9es,2022-02-02,02:00,1:1,0:1,1:0,2.42,2.89,3.38,1.0,True,Peru,Ecuador,0.0,1.0,1.0,0.0,1.0,1.0
M1VuzTAm,2022-02-02,00:30,4:0,1:0,3:0,1.26,5.26,14.15,0.0,True,Brazil,Paraguay,1.0,0.0,3.0,0.0,4.0,0.0
